"id","fullName","club","season","APPEARANCES","ASSISTS","AVERAGE_GOALS_PER_MATCH","AVERAGE_POINTS_PER_MATCH","CLEAN_SHEETS","DRAW_RATIO","FOULED","FOULS","LOSS_RATIO","OLDEST","RED_CARDS","SHORTEST","SUBSTITUTIONS_OFF","SUBSTITUTIONS_ON","TALLEST","TOP_SCORERS","WEIGHT","WIN_RATIO","YELLOW_CARDS","YOUNGEST"
"40799","Vurnon Anita","Newcastle","2013-2014",34,1,0.03,1.35,6,11.76,25,23,47.06,26,0,1.68,11,6,1.68,1,63,41.18,2,26
"4098","John Arne Riise","Fulham","2013-2014",20,0,0,0.75,1,15,6,13,65,35,0,1.85,2,3,1.85,0,77,20,2,35
"41135","Branislav Ivanovic","Chelsea","2013-2014",36,1,0.08,2.11,16,19.44,26,47,16.67,31,0,1.85,1,0,1.85,3,91,63.89,8,31
"41184","Marouane Fellaini","Man Utd","2013-2014",19,1,0,1.68,4,26.32,20,42,26.32,28,0,1.94,5,4,1.94,0,85,47.37,2,28
"41262","Elliott Bennett","Norwich","2013-2014",2,0,0,0.5,0,50,2,0,50,27,0,1.75,0,1,1.75,0,69,0,0,27
"41270","David Luiz","Chelsea","2013-2014",19,1,0,2.11,4,21.05,23,26,15.79,28,0,1.89,2,4,1.89,0,86,63.16,6,28
"41328","César Azpilicueta","Chelsea","2013-2014",29,0,0,2.17,12,20.69,24,30,13.79,26,0,1.78,2,3,1.78,0,75,65.52,1,26
"41464","Marko Arnautovic","Stoke","2013-2014",30,7,0.13,1.4,3,30,27,29,33.33,26,0,1.92,13,3,1.92,4,83,36.67,3,26
"41574","Jozy Altidore","Sunderland","2013-2014",31,1,0.03,1.06,1,19.35,42,52,51.61,26,0,1.85,6,12,1.85,1,79,29.03,3,26
"41705","Brad Guzan","Aston Villa","2013-2014",38,1,0,1,9,21.05,7,1,52.63,31,0,1.93,0,0,1.93,0,94,26.32,1,31
